Exercise,muscles_primary,muscles_secondary,exercise_complexity,exercise_level,movement_pattern,body_region,skill_category,laterallity,resistance_type,equipment
Hammer Curl (Tricep Bar),biceps,,isolation,intermediate,,upper,,bilateral,free weight,tricep bar
Kettlebell Curl,biceps,,isolation,beginner,,upper,,bilateral,free weight,kettlebell
Rear Delt Dumbbell Fly,rear delts,,isolation,beginner,,upper,,bilateral,free weight,dumbbell
Rear Delt Dumbbell Raise,rear delts,,isolation,beginner,,upper,,bilateral,free weight,dumbbell
Pull Up,lats,biceps,compound,beginner,vertical pull,upper,,bilateral,bodyweight,bar
Rear Delt Machine Fly,rear delts,,isolation,beginner,,upper,,bilateral,machine,machines
Straight-Arm L-Raise Pulldown,lats,core,compound,intermediate,vertical pull,upper,,bilateral,bodyweight,bar
Ring Bicep Curl,biceps,,isolation,intermediate,,upper,,bilateral,bodyweight,rings
Seated Incline Dumbbell Curl,biceps,,isolation,beginner,,upper,,unilateral,free weight,dumbbell
Wide Pull Up,lats,biceps,compound,intermediate,vertical pull,upper,,bilateral,bodyweight,bar
Zottman Curl,biceps,,isolation,beginner,,upper,,unilateral,free weight,dumbbell
BW Bar Overhead Tricep Extension,triceps,,isolation,intermediate,,upper,,bilateral,bodyweight,bar
Archer Pull Up Negative,lats,biceps,compound,advanced,vertical pull,upper,,unilateral,bodyweight,bar
Dumbbell Shoulder Press,shoulders,triceps,compound,intermediate,vertical push up,upper,,bilateral,free weight,dumbbell
Barbell Triceps Overhead Extension,triceps,,isolation,intermediate,,upper,,bilateral,free weight,barbell
Cable Overhead Triceps Extension,triceps,,isolation,intermediate,,upper,,bilateral,cable,cable
Dumbbell Overhead Triceps Extension,triceps,,isolation,intermediate,,upper,,bilateral,free weight,dumbbell
Dumbbell Skullcrusher,triceps,,isolation,intermediate,,upper,,unilateral,free weight,dumbbell
Barbell Row,lats,biceps,compound,intermediate,horizontal pull,upper,,bilateral,free weight,barbell
Explosive Push Up,chest,triceps,compound,intermediate,horizontal push,upper,plyometrics,bilateral,bodyweight,
Flat Barbell Bench Press,chest,triceps,compound,beginner,horizontal push,upper,,bilateral,free weight,barbell
Flat Dumbbell Bench Press,chest,triceps,compound,beginner,horizontal push,upper,,bilateral,free weight,dumbbell
Flat Dumbbell Fly,chest,,isolation,beginner,,upper,,bilateral,free weight,dumbbell
Ring Flies,chest,,isolation,advanced,,upper,,bilateral,bodyweight,rings
Ring Ab Rollout,abs,core,compound,advanced,core,core,,bilateral,bodyweight,rings
Single Leg RDL Palloff Hold,core,glutes,compound,advanced,core,core,,unilateral,bands,bands
